Date,Tweet_ID,Username,Raw Text,Likes,Retweets,is_fire,is_forest,is_urban,Light Cleaned Text,Advanced Cleaned Text,Hard Cleaned Text,Fire Probability,Predicted Label,is_wildland_pred,is_urban_pred,Extracted_Locations,Coordinates
2024-08-12 19:04:56+00:00,1823073199107788875,ΤΟ ΒΗΜΑ,#Φωτιά στην #Αττικη 🔥   Στο πλευρό της χώρας μας η #Παλαιστίνη   #Αττική #Φωτια_τωρα #φωτιατωρα #πυρκαγιά #Βαρναβας #Βριλησσια #Χαλανδρι   https://t.co/OrEh1MEat7,17,3,,,,#Φωτιά στην #Αττικη Στο πλευρό της χώρας μας η #Παλαιστίνη #Αττική #Φωτια_τωρα #φωτιατωρα #πυρκαγιά #Βαρναβας #Βριλησσια #Χαλανδρι,#φωτια στην #αττικη στο πλευρο της χωρας μας η #παλαιστινη #αττικη #φωτια_τωρα #φωτιατωρα #πυρκαγια #βαρναβας #βριλησσια #χαλανδρι,φωτια αττικη πλευρο χωρα παλαιστινη αττικος φωτια τωρα φωτιατωρα πυρκαγια βαρναβας βριλησσια χαλανδρι,0.856,1,0,0,"[{'name': 'αττικη', 'ner_label': 'GPE'}, {'name': 'παλαιστινη αττικη', 'ner_label': 'GPE'}, {'name': 'βαρναβας βριλησσια χαλανδρι', 'ner_label': 'GPE'}]","[{'lat': 37.9995238, 'lon': 23.7228379, 'name': 'Αττική', 'osm_class': 'railway', 'osm_type': 'station', 'importance': 0.37797476194049984, 'ner_label': 'GPE', 'original_name': 'αττικη'}]"
2024-08-12 19:05:03+00:00,1823073229126390089,Dnews,Φωτιά στην Αττική: Ερχεται βοήθεια και από την Τουρκία #ΦΩΤΙΑ_ΤΩΡΑ #ΦΩΤΙΑ_ΑΤΤΙΚΗ https://t.co/GE29ZBZD3p,0,0,,,,Φωτιά στην Αττική: Ερχεται βοήθεια και από την Τουρκία #ΦΩΤΙΑ_ΤΩΡΑ #ΦΩΤΙΑ_ΑΤΤΙΚΗ,φωτια στην αττικη: ερχεται βοηθεια και απο την τουρκια #φωτια_τωρα #φωτια_αττικη,φωτια αττικος ερχω βοηθεια τουρκια φωτια τωρα φωτια αττικη,0.461,1,0,0,"[{'name': 'αττικη', 'ner_label': 'GPE'}, {'name': 'τουρκια', 'ner_label': 'GPE'}]","[{'lat': 37.9995238, 'lon': 23.7228379, 'name': 'Αττική', 'osm_class': 'railway', 'osm_type': 'station', 'importance': 0.37797476194049984, 'ner_label': 'GPE', 'original_name': 'αττικη'}]"
2024-08-12 19:05:30+00:00,1823073342691107254,Penny Rage,"Βλέπετε τις εστίες που βρίσκονται στον Ερυθρό Νεας Μακρης, όλο κ πληθαίνουν κ κατεβαίνουν αλλά δε γίνεται καμία ρίψη εδώ κ ώρες.  (πριν 1 ώρα) από Markella Yiallourou #ΝεαΜακρη #Νεα_Μακρη #Γραμματικο #φωτια #Φωτια_τωρα #φωτιατωρα #πυρκαγια https://t.co/e6cDpSWlKA",3,0,,,,"Βλέπετε τις εστίες που βρίσκονται στον Ερυθρό Νεας Μακρης, όλο κ πληθαίνουν κ κατεβαίνουν αλλά δε γίνεται καμία ρίψη εδώ κ ώρες. (πριν 1 ώρα) από Markella Yiallourou #ΝεαΜακρη #Νεα_Μακρη #Γραμματικο #φωτια #Φωτια_τωρα #φωτιατωρα #πυρκαγια","βλεπετε τις εστιες που βρισκονται στον ερυθρο νεας μακρης, ολο κ πληθαινουν κ κατεβαινουν αλλα δε γινεται καμια ριψη εδω κ ωρες. (πριν 1 ωρα) απο markella yiallourou #νεαμακρη #νεα_μακρη #γραμματικο #φωτια #φωτια_τωρα #φωτιατωρα #πυρκαγια",βλεπετε εστια βρισκω ερυθρος νεας μακρης κ πληθαινω κ κατεβαινω γινομαι ριψη κ ωρα ωρα markella yiallourou νεα μακρη νεα μακρη γραμματικο φωτια φωτια τωρα φωτιατωρα πυρκαγια,0.362,1,0,0,"[{'name': 'ερυθρο νεας', 'ner_label': 'FAC'}, {'name': 'νεα', 'ner_label': 'GPE'}, {'name': 'μακρη γραμματικο', 'ner_label': 'GPE'}]","[{'lat': 38.031963, 'lon': 23.707852, 'name': 'Ίλιον', 'osm_class': 'place', 'osm_type': 'suburb', 'importance': 0.49943623326052666, 'ner_label': 'GPE', 'original_name': 'νεα'}]"
2024-08-12 19:05:32+00:00,1823073349871751560,𝕁𝕊𝕨𝕖𝕖𝕥𝔾ℝ - #MyFlag 🇪🇺💛💙,"Φωτιά στην Αττική: Κάηκε το σπίτι του ανθρώπου που καταδικάστηκε για την πυρκαγιά στο Μάτι [βίντεο].  ""Δεν έχω λόγια, δεν τον περιμέναμε αυτό. Μας έδιωξε το 112 και ήρθα και είδα ότι είχε πάρει φωτιά» είπε ο K. Αγγελόπουλος.  Ωστόσο οι γείτονές του δεν του έδειξαν καμία συμπόνια",12,5,,,,"Φωτιά στην Αττική: Κάηκε το σπίτι του ανθρώπου που καταδικάστηκε για την πυρκαγιά στο Μάτι [βίντεο]. ""Δεν έχω λόγια, δεν τον περιμέναμε αυτό. Μας έδιωξε το 112 και ήρθα και είδα ότι είχε πάρει φωτιά» είπε ο K. Αγγελόπουλος. Ωστόσο οι γείτονές του δεν του έδειξαν καμία συμπόνια","φωτια στην αττικη: καηκε το σπιτι του ανθρωπου που καταδικαστηκε για την πυρκαγια στο ματι [βιντεο]. ""δεν εχω λογια, δεν τον περιμεναμε αυτο. μας εδιωξε το 112 και ηρθα και ειδα οτι ειχε παρει φωτια» ειπε ο k. αγγελοπουλος. ωστοσο οι γειτονες του δεν του εδειξαν καμια συμπονια",φωτια αττικος καηκε σπιτι ανθρωπου καταδικαζω πυρκαγια ματι βιντεο λογος περιμεναμε εδιωξε ηρθα ειδα παρει φωτια λεγω k αγγελοπουλος γειτονες εδειξαν συμπονος,0.586,1,0,1,"[{'name': 'αττικη', 'ner_label': 'GPE'}, {'name': 'ματι', 'ner_label': 'GPE'}]","[{'lat': 37.9995238, 'lon': 23.7228379, 'name': 'Αττική', 'osm_class': 'railway', 'osm_type': 'station', 'importance': 0.37797476194049984, 'ner_label': 'GPE', 'original_name': 'αττικη'}, {'lat': 40.9138035, 'lon': 24.0908794, 'name': 'Μάτι', 'osm_class': 'natural', 'osm_type': 'peak', 'importance': 0.43096957211662124, 'ner_label': 'GPE', 'original_name': 'ματι'}]"
2024-08-12 19:05:43+00:00,1823073395975606743,Monika,"@prsnlg Εδώ έπιασε η φωτιά και στην Πεντέλη , Γέρακα και πάει λέγοντας",0,0,,,,"Εδώ έπιασε η φωτιά και στην Πεντέλη , Γέρακα και πάει λέγοντας","εδω επιασε η φωτια και στην πεντελη , γερακα και παει λεγοντας",επιασε φωτια πεντελη γερακα παει λεγω,0.949,1,0,0,"[{'name': 'πεντελη', 'ner_label': 'GPE'}, {'name': 'γερακα', 'ner_label': 'GPE'}]","[{'lat': 38.0505896, 'lon': 23.8614591, 'name': 'Πεντέλη', 'osm_class': 'place', 'osm_type': 'suburb', 'importance': 0.49026558458181707, 'ner_label': 'GPE', 'original_name': 'πεντελη'}]"
2024-08-12 19:05:44+00:00,1823073401994432548,Γιωργος,"Έκτακτο Τώρα: Φωτιά και στην Γλυφάδα, καίει δίπλα από σπίτια https://t.co/mHp6eXElpG",0,0,,,,"Έκτακτο Τώρα: Φωτιά και στην Γλυφάδα, καίει δίπλα από σπίτια","εκτακτο τωρα: φωτια και στην γλυφαδα, καιει διπλα απο σπιτια",εκτακτο φωτια γλυφαδα καιω σπιτι,0.985,1,0,1,"[{'name': 'γλυφαδα', 'ner_label': 'GPE'}]","[{'lat': 37.8829987, 'lon': 23.767983, 'name': 'Δήμος Γλυφάδας', 'osm_class': 'boundary', 'osm_type': 'administrative', 'importance': 0.2853231881743613, 'ner_label': 'GPE', 'original_name': 'γλυφαδα'}]"
2024-08-12 19:06:02+00:00,1823073475860549839,Claire,"@titin4ki Άνω Σουλι Μαραθωνα από ότι ειπαν , υπάρχει αναζωπύρωση . Από https://t.co/XBBiKf7g5U ότι μαθαίνουμε .",0,0,,,,"Άνω Σουλι Μαραθωνα από ότι ειπαν , υπάρχει αναζωπύρωση . Από ότι μαθαίνουμε .","ανω σουλι μαραθωνα απο οτι ειπαν , υπαρχει αναζωπυρωση . απο οτι μαθαινουμε .",σουλι μαραθωνα ειπαν υπαρχω αναζωπυρωση μαθαινω,0.637,1,0,0,"[{'name': 'ανω σουλι μαραθωνα', 'ner_label': 'GPE'}]",[]
2024-08-12 19:06:03+00:00,1823073482504368421,PLURALISM.GR,Φωτιά τώρα και στη Γλυφάδα - Documento https://t.co/L4s2R52qZF https://t.co/rxINcHSq7I,0,0,,,,Φωτιά τώρα και στη Γλυφάδα - Documento,φωτια τωρα και στη γλυφαδα - documento,φωτια γλυφαδα documento,0.976,1,0,0,"[{'name': 'γλυφαδα', 'ner_label': 'GPE'}]","[{'lat': 37.8829987, 'lon': 23.767983, 'name': 'Δήμος Γλυφάδας', 'osm_class': 'boundary', 'osm_type': 'administrative', 'importance': 0.2853231881743613, 'ner_label': 'GPE', 'original_name': 'γλυφαδα'}]"
2024-08-12 19:06:10+00:00,1823073509347922142,PLURALISM.GR,Φωτιά στην Αττική: Εκκενώνεται το Δέση Γέρακα - Μήνυμα 112 ... https://t.co/NicC5zV2IA https://t.co/zn88N6sTXM,0,0,,,,Φωτιά στην Αττική: Εκκενώνεται το Δέση Γέρακα - Μήνυμα 112 ...,φωτια στην αττικη: εκκενωνεται το δεση γερακα - μηνυμα 112 ...,φωτια αττικος εκκενωνεται δεση γερακα μηνυμα,0.988,1,0,1,"[{'name': 'αττικη', 'ner_label': 'GPE'}, {'name': 'δεση γερακα', 'ner_label': 'FAC'}]","[{'lat': 37.9995238, 'lon': 23.7228379, 'name': 'Αττική', 'osm_class': 'railway', 'osm_type': 'station', 'importance': 0.37797476194049984, 'ner_label': 'GPE', 'original_name': 'αττικη'}, {'lat': 38.0380072, 'lon': 23.8683619, 'name': 'Δέση', 'osm_class': 'place', 'osm_type': 'quarter', 'importance': 0.13341660715648124, 'ner_label': 'FAC', 'original_name': 'δεση γερακα'}]"
2024-08-12 19:06:14+00:00,1823073526611681614,ΤΟ ΒΗΜΑ,🔥#Φωτιά στην #Αττικη   Σχεδόν 100 χιλιάδες στρέμματα έxoυν  καεί μέχρι τώρα   Δεύτερο 24ωρο που η φωτιά συνεχίζει το καταστροφικό της έργο στην Αττική.   #Φωτια_τωρα #φωτιατωρα #πυρκαγιά #Βαρναβας #Βριλησσια #Χαλανδρι  https://t.co/5djMWFenwZ,2,0,,,,#Φωτιά στην #Αττικη Σχεδόν 100 χιλιάδες στρέμματα έxoυν καεί μέχρι τώρα Δεύτερο 24ωρο που η φωτιά συνεχίζει το καταστροφικό της έργο στην Αττική. #Φωτια_τωρα #φωτιατωρα #πυρκαγιά #Βαρναβας #Βριλησσια #Χαλανδρι,#φωτια στην #αττικη σχεδον 100 χιλιαδες στρεμματα εxoυν καει μεχρι τωρα δευτερο 24ωρο που η φωτια συνεχιζει το καταστροφικο της εργο στην αττικη. #φωτια_τωρα #φωτιατωρα #πυρκαγια #βαρναβας #βριλησσια #χαλανδρι,φωτια αττικη χιλιαδα στρεμματο εxoυν καει δευτερος ωρος φωτια συνεχιζω καταστροφικος εργο αττικος φωτια τωρα φωτιατωρα πυρκαγια βαρναβας βριλησσια χαλανδρι,0.95,1,1,1,"[{'name': 'αττικη', 'ner_label': 'GPE'}, {'name': 'βαρναβας βριλησσια χαλανδρι', 'ner_label': 'GPE'}]","[{'lat': 37.9995238, 'lon': 23.7228379, 'name': 'Αττική', 'osm_class': 'railway', 'osm_type': 'station', 'importance': 0.37797476194049984, 'ner_label': 'GPE', 'original_name': 'αττικη'}]"
