Tweet_ID,toponym,base_dist_km,optimized_dist_km
1808521437939933440,Γλυκά Νερά,0.408,0.408
1808521717377081600,Γλυκά Νερά,0.349,0.349
1808524554815361024,Γλυκά Νερά,0.326,0.326
1808532377469092096,Υμηττός,,
1808532377469092096,Γλυκά Νερά,0.408,0.408
1808544300872916992,Μηλίτσα,0.055,0.055
1808545644648206592,Νεκροταφείο Γλυκών Νερών,,
1808555022734512384,Λόφος Φιλοπάππου,0.585,0.0
1808556439440355840,Γλυκά Νερά,0.408,0.408
1808560983180521728,Αμυγδαλιά Λάρισας,0.229,0.229
1808564570899816448,Αμυγδαλιά Λάρισας,13.458,0.228
1808564570899816448,Λάρισα,0.183,4.081
1808572754922275072,Λάρισα,0.085,4.248
1808572754922275072,Αμυγδαλιά,0.058,0.058
1808575048577421824,Λάρισα,0.183,4.081
1808575557145141760,Γλυκά Νερά,0.326,0.326
1808575716046557440,Αμυγδαλιά Λάρισας,0.228,0.228
1808576808813486592,Κερνίτσα,0.125,0.125
1808576808813486592,Άνω Διακοπτό,6.595,6.479
1808582150385541632,Αμυγδαλιά Λάρισας,0.228,0.228
1808594959869882368,Νέα Ζωή Ασπροπύργου,0.077,0.141
1808599613164957952,Γλυκά Νερά,0.349,0.349
1808603946790842624,Αμυγδαλιά Λάρισας,0.228,0.228
1808610304017977856,Νέα Ζωή Ασπροπύργου,0.106,0.17
1937606544440365568,ΚΤΕΛ Κηφισού,0.152,0.152
1938571735223120384,Στεφάνη Βοιωτίας,0.047,0.047
1940440621732552704,Χαλκιδική,0.0,0.0
1940440621732552704,Βουρβουρού,0.283,0.283
1940444079655125248,Χαλκίδα,2.731,2.731
1940446143000756224,Εύβοια,0.0,0.0
1940455534458818816,Περιφερειακή Ενότητα Λασιθίου,879.542,839.932
1940463560964162048,Περιφερειακή Ενότητα Λασιθίου,40.418,0.0
1940463560964162048,Δημοτική Ενότητα Ιεράπετρας,8.565,0.0
1940467472446246912,Χαλκιδική,0.0,0.0
1940467547499122944,Χαλκιδική,0.0,0.0
1940467547499122944,Βουρβουρού,0.406,0.406
1940476969235501312,Ιεράπετρα,0.256,8.319
1940485281842409728,Χαλκιδική,0.0,0.0
1940485281842409728,Βουρβουρού,,0.283
1940485584407220480,Αχλιά Λασιθίου,0.22,0.22
1940486951943262464,Περιφερειακή Ενότητα Λασιθίου,40.418,0.0
1940486951943262464,Αγία Φωτιά,1.512,1.512
1940487636185239808,Αχλιά Ιεράπετρας,0.22,0.22
1940487636185239808,Φέρμα Ιεράπετρας,0.54,0.54
1940490715630629120,Ιεράπετρα,0.28,8.29
1940492437757350144,Δημοτική Ενότητα Ιεράπετρας,8.565,0.0
1940496484375712256,Ιεράπετρα,0.28,8.29
1940498172675314176,Ιεράπετρα,0.28,8.29
1940498172675314176,Χαλκιδική,0.0,0.0
1940498172675314176,Κύθηρα,0.812,11.301
1940501021337481728,Περιφερειακή Ενότητα Λασιθίου,40.418,0.0
