Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban;Light Cleaned Text;Advanced Cleaned Text;Hard Cleaned Text
Wed Jul 03 23:54:30 +0000 2024;1,81E+18;;27;3;1;1;0;Άμεσα τέθηκε υπό μερικό έλεγχο η #πυρκαγιά, που εκδηλώθηκε σε αγροτοδασική έκταση στην περιοχή Καλυβίτης Αχαΐας. Επιχειρούν 36 #πυροσβέστες με 2 ομάδες πεζοπόρων τμημάτων της 6ης ΕΜΟΔΕ και 12 οχήματα. Συνδρομή από υδροφόρες ΟΤΑ.;αμεσα τεθηκε υπο μερικο ελεγχο η #πυρκαγια, που εκδηλωθηκε σε αγροτοδασικη εκταση στην περιοχη καλυβιτης αχαιας. επιχειρουν 36 #πυροσβεστες με 2 ομαδες πεζοπορων τμηματων της 6ης εμοδε και 12 οχηματα. συνδρομη απο υδροφορες οτα.;τεθηκε μερικος ελεγχος πυρκαγια εκδηλωνω αγροτοδασικος εκταση περιοχη καλυβιτης αχαιας επιχειρουν πυροσβεστης ομαδα πεζοπορων τμηματων ος εμοδε οχηματα συνδρομη υδροφορες οτα
Wed Jul 03 23:34:39 +0000 2024;1,81E+18;;1;0;0;;;Λοιπον.μουνοπανα σας βαλαν οι κυρ παντεληδες να παιξετε με τη ζωη μας και γουσταρετε.το δακτυλο δεν θα μας το κουνατε αλλο.οι φωτιες μπαινουν απ τα σαπια καλωδια του κυριου στασση.ο μονος λογος που δεν καηκε ο υμηττος ειναι οτι απο κατω εχει στρατοπεδο του ΝΑΤΟ #φωτιά;λοιπον.μουνοπανα σας βαλαν οι κυρ παντεληδες να παιξετε με τη ζωη μας και γουσταρετε.το δακτυλο δεν θα μας το κουνατε αλλο.οι φωτιες μπαινουν απ τα σαπια καλωδια του κυριου στασση.ο μονος λογος που δεν καηκε ο υμηττος ειναι οτι απο κατω εχει στρατοπεδο του νατο #φωτια;λοιπον μουνοπανα βαλαν κυρ παντεληδες παιξετε ζωη γουσταρετε τος δακτυλο κουνατε αλλο οι φωτιες μπαινω σαπια καλωδια κυριος στασση ο μονος λογος καηκε υμηττος ειναι οτι απο κατω εχω στρατοπεδο νατο φωτια
Wed Jul 03 23:34:27 +0000 2024;1,81E+18;;5;1;0;;;Ποιος Θεουλης? #κακοκαιρια #toproxenio #ΝΔ_απατεώνες #Αυγενακη #Γλυκα_Νερα #ελευθεριος_βενιζελος #Θεσσαλονίκη #Καραμανλης #Μητσοτακης #Σαμαρας #Πυρκαγιά #φωτια;ποιος θεουλης? #κακοκαιρια #toproxenio #νδ_απατεωνες #αυγενακη #γλυκα_νερα #ελευθεριος_βενιζελος #θεσσαλονικη #καραμανλης #μητσοτακης #σαμαρας #πυρκαγια #φωτια;ποιος θεουλης κακοκαιρια toproxenio νδ απατεωνες αυγενακη γλυκα νερα ελευθεριος βενιζελος θεσσαλονικη καραμανλης μητσοτακης σαμαρας πυρκαγια φωτια
Wed Jul 03 23:28:19 +0000 2024;1,81E+18;;0;0;0;;;Βαλανε ντροουν οτι επεσε ακριβως πανω σε λεπτο χωματοδρομο στην κορυφη του υμηττου.μαλακα οι ανθρωποι ειναι αδιστακτοι.ΣΤΑΣΣΗ ΓΑΜΙΕΣΑΙ .#Γλυκα_Νερα #φωτιά #ενημερωση_107;βαλανε ντροουν οτι επεσε ακριβως πανω σε λεπτο χωματοδρομο στην κορυφη του υμηττου.μαλακα οι ανθρωποι ειναι αδιστακτοι.στασση γαμιεσαι .#γλυκα_νερα #φωτια #ενημερωση_107;βαλανε ντροουν οτι επεσε ακριβως πανω λεπτος χωματοδρομος κορυφη υμηττου μαλακα ανθρωπος ειναι αδιστακτοι στασση γαμιεσαι γλυκα νερα φωτια ενημερωση
Wed Jul 03 23:22:45 +0000 2024;1,81E+18;;0;0;0;;;Φωτιά στα Γλυκά Νερά: Στον εισαγγελέα οδηγείται αύριο ο συλληφθείς;φωτια στα γλυκα νερα: στον εισαγγελεα οδηγειται αυριο ο συλληφθεις;φωτια γλυκα νερα εισαγγελεας οδηγειται συλληφθεις
Wed Jul 03 23:16:50 +0000 2024;1,81E+18;;0;0;1;1;0;Πυροσβεστική: 45 αγροτοδασικές πυρκαγιές σε όλη τη χώρα το τελευταίο 24ωρο – Σε εξέλιξη φωτιά στο Μελίσσι Κορινθίας;πυροσβεστικη: 45 αγροτοδασικες πυρκαγιες σε ολη τη χωρα το τελευταιο 24ωρο – σε εξελιξη φωτια στο μελισσι κορινθιας;πυροσβεστικη αγροτοδασικος πυρκαγιες χωρα ωρο εξελιξη φωτια μελισσι κορινθια
Wed Jul 03 23:09:37 +0000 2024;1,81E+18;;1;2;0;;;οι #εμπρηστες παρακρατικοι τ κουλη συλλαμβανονται γιατι πηραν εντολη απο τ κρατος ν καψουν εκει π θ μπουν #ανεμογεννητριες ποσο θ μας κοροιδευουν ακομη ρε μλκες?μπουφοι πιστευουν οτι θ πανε φυλακη κ δεν ειναι βαλτοι ειναιτυχαιοι!#Μητσοτακη_καθαρμα #νδ_μαφια #Φωτια_τωρα #Αυγενακη;οι #εμπρηστες παρακρατικοι τ κουλη συλλαμβανονται γιατι πηραν εντολη απο τ κρατος ν καψουν εκει π θ μπουν #ανεμογεννητριες ποσο θ μας κοροιδευουν ακομη ρε μλκες?μπουφοι πιστευουν οτι θ πανε φυλακη κ δεν ειναι βαλτοι ειναιτυχαιοι!#μητσοτακη_καθαρμα #νδ_μαφια #φωτια_τωρα #αυγενακη;εμπρηστες παρακρατικος τ κουλη συλλαμβανονται γιατι πηραν εντολη απο τ κρατος ν καψον εκει π θ μπουν ανεμογεννητριος ποσο θ κοροιδευω ακομη ρε μλκες μπουφοι πιστευω οτι θ πανε φυλακη κ ειμαι βαλτοι ειναιτυχαιοι μητσοτακη καθαρμα νδ μαφια φωτια τωρα αυγενακη
Wed Jul 03 23:07:07 +0000 2024;1,81E+18;;25;0;1;0;1;Κατεσβέσθη #πυρκαγιά σε υπαίθριο χώρο επιχείρησης, στη συμβολή της οδού Απειράνθου και της Λεωφόρου Σουνίου, στο Λαγονήσι Αττικής. Επιχείρησαν 10 #πυροσβέστες με 4 οχήματα.;κατεσβεσθη #πυρκαγια σε υπαιθριο χωρο επιχειρησης, στη συμβολη της οδου απειρανθου και της λεωφορου σουνιου, στο λαγονησι αττικης. επιχειρησαν 10 #πυροσβεστες με 4 οχηματα.;κατεσβεσθη πυρκαγια υπαιθριος χωρος επιχειρηση συμβολη οδου απειρανθου λεωφορου σουνιου λαγονησι αττικη επιχειρησαν πυροσβεστης οχημα
Wed Jul 03 23:06:22 +0000 2024;1,81E+18;;0;0;0;;;Εμείς τώρα πρέπει να χα,ψουμε ότι τυχαία πήρε φωτιά από την μπαταρία και δεν ήταν επίτηδες;εμεις τωρα πρεπει να χα,ψουμε οτι τυχαια πηρε φωτια απο την μπαταρια και δεν ηταν επιτηδες;χα ψω τυχαιας πηρε φωτια μπαταρια επιτηδης
Wed Jul 03 23:04:36 +0000 2024;1,81E+18;;1;0;0;;;Η μπαταρία και το drone είναι άθικτα απο φωτιά. Επίσης δεν μοιάζει να είχε αναρτημένο κάτι πάνω του. Ίσως το σήκωσαν για επιτήρηση και είναι άσχετο με την έναρξη. Όλη η διαδικασία πτήσης, ο χειρισμός, η σήμανση είναι τραγικά όμως.;η μπαταρια και το drone ειναι αθικτα απο φωτια. επισης δεν μοιαζει να ειχε αναρτημενο κατι πανω του. ισως το σηκωσαν για επιτηρηση και ειναι ασχετο με την εναρξη. ολη η διαδικασια πτησης, ο χειρισμος, η σημανση ειναι τραγικα ομως.;μπαταρια drone αθικτα απο φωτια μοιαζω αναρτημενος σηκωσαν επιτηρηση ασχετος εναρξη διαδικασια πτηση χειρισμος σημανση τραγικα
