Tweet_ID,toponym,gold_toponym,orig_geocoded_as,orig_success,now_n_candidates,now_top_name,now_success,shift_km,orig_within_10km,now_within_10km,orig_choice_rank_today
1808521437939933440,γλυκα νερα,Γλυκά Νερά,Γλυκά Νερά,True,1,Γλυκά Νερά,True,0.0,True,True,0.0
1808521717377081600,γλυκα νερα,Γλυκά Νερά,Γλυκά Νερά,True,1,Γλυκά Νερά,True,0.0,True,True,0.0
1808524554815361024,γλυκα,Γλυκά Νερά,Γλυκά Νερά,True,3,Γλυκά Νερά,True,0.0,True,True,0.0
1808532377469092096,υμηττο,Υμηττός,Δημοτική Ενότητα Υμηττού,True,0,,False,,True,False,
1808532377469092096,γλυκα,Γλυκά Νερά,Γλυκά Νερά,True,3,Γλυκά Νερά,True,0.0,True,True,0.0
1808544300872916992,μηλιτσα μεσσηνιας,Μηλίτσα,Μηλίτσα,True,2,Μηλίτσα,True,0.0,True,True,0.0
1808545644648206592,νεκροταφειο γλυκων νερων,Νεκροταφείο Γλυκών Νερών,FAILED_TO_GEOCODE,False,0,,False,,False,False,
1808555022734512384,φιλοπαππου,Λόφος Φιλοπάππου,Λόφος Φιλοπάππου,True,3,Φιλοπάππου,True,0.585,True,True,0.0
1808555022734512384,ακροπολη,Ακρόπολη,Ακρόπολη,True,4,Ακρόπολη,True,0.422,,,0.0
1808556439440355840,γλυκα νερα,Γλυκά Νερά,Γλυκά Νερά,True,1,Γλυκά Νερά,True,0.0,True,True,0.0
1808560983180521728,αμυγδαλια λαρισας,Αμυγδαλιά Λάρισας,FAILED_TO_GEOCODE,False,1,Αμυγδαλέα,True,,False,True,
1808564570899816448,αμυγδαλια,Αμυγδαλιά Λάρισας,FAILED_TO_GEOCODE,False,7,Αμυγδαλιά,True,,False,False,
1808564570899816448,λαρισα,Λάρισα,Λάρισα,True,2,Λάρισα,True,0.0,True,True,0.0
1808572754922275072,λαρισα,Λάρισα,Λάρισα,True,2,Λάρισα,True,0.0,True,True,0.0
1808572754922275072,αμυγδαλια λαρισα,Αμυγδαλιά,Λάρισα,True,1,Αμυγδαλέα,True,13.229,False,True,
1808575048577421824,λαρισα,Λάρισα,Λάρισα,True,2,Λάρισα,True,0.0,True,True,0.0
1808575557145141760,γλυκα νερα,Γλυκά Νερά,Γλυκά Νερά,True,1,Γλυκά Νερά,True,0.0,True,True,0.0
1808575716046557440,αμυγδαλια λαρισας,Αμυγδαλιά Λάρισας,FAILED_TO_GEOCODE,False,1,Αμυγδαλέα,True,,False,True,
