Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban
Mon Aug 12 23:58:43 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:58:43 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:57:12 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:55:55 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:53:12 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:52:09 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 23:51:56 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 23:51:46 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:51:35 +0000 2024;1,82E+18;;28;22;;;
Mon Aug 12 23:51:19 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:50:55 +0000 2024;1,82E+18;;2;2;;;
Mon Aug 12 23:50:43 +0000 2024;1,82E+18;;8;1;;;
Mon Aug 12 23:50:15 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:49:26 +0000 2024;1,82E+18;;19;3;;;
Mon Aug 12 23:49:08 +0000 2024;1,82E+18;;6;2;;;
Mon Aug 12 23:48:15 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:48:04 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:47:58 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:46:51 +0000 2024;1,82E+18;;7;7;;;
Mon Aug 12 23:46:28 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:45:15 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:45:13 +0000 2024;1,82E+18;;87;7;;;
Mon Aug 12 23:45:00 +0000 2024;1,82E+18;;3;1;;;
Mon Aug 12 23:44:25 +0000 2024;1,82E+18;;6;0;;;
Mon Aug 12 23:44:09 +0000 2024;1,82E+18;;2;2;;;
Mon Aug 12 23:43:51 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 23:43:08 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:41:43 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 23:40:58 +0000 2024;1,82E+18;;514;305;;;
Mon Aug 12 23:39:17 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:38:56 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:37:36 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:36:12 +0000 2024;1,82E+18;;4;1;;;
Mon Aug 12 23:36:07 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:35:32 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:35:25 +0000 2024;1,82E+18;;156;41;;;
Mon Aug 12 23:35:15 +0000 2024;1,82E+18;;4;0;;;
Mon Aug 12 23:34:30 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:34:27 +0000 2024;1,82E+18;;5;1;;;
Mon Aug 12 23:33:05 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 23:32:52 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:32:33 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:31:22 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 23:30:39 +0000 2024;1,82E+18;;8;0;;;
