parameter,value,is_baseline,branch_stats,n_gold,ner_strict_acc,ner_operational_acc,n_geocoded,geocoding_op_acc,mean_error_km,median_error_km
BASELINE,,True,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 171, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
DISAMBIGUATION_THRESHOLD_KM,20.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 205, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.541,0.279
DISAMBIGUATION_THRESHOLD_KM,30.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 188, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
DISAMBIGUATION_THRESHOLD_KM,40.0,True,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 171, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
DISAMBIGUATION_THRESHOLD_KM,50.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 167, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
DISAMBIGUATION_THRESHOLD_KM,60.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 161, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
DISAMBIGUATION_THRESHOLD_KM,80.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 155, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
STRICT_THRESHOLD_KM,5.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 186, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.584,0.283
STRICT_THRESHOLD_KM,10.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 179, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
STRICT_THRESHOLD_KM,15.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 173, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
STRICT_THRESHOLD_KM,20.0,True,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 171, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
STRICT_THRESHOLD_KM,30.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 167, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
STRICT_THRESHOLD_KM,40.0,False,"{""single_toponym"": 678, ""memory_size_empty"": 13, ""fallback_used"": 164, ""memory_size_nonempty"": 1087, ""multi_toponym"": 374, ""no_toponyms"": 48}",147,0.5374,0.898,115,0.7347,20.567,0.279
